Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR1770737_1	SRR1770737_1.fastq	Conventional base calls	Sanger / Illumina 1.9	50642.0	0.0	151.0	53.0	12.22897989810829	151.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR1770737_2	SRR1770737_2.fastq	Conventional base calls	Sanger / Illumina 1.9	50642.0	0.0	151.0	54.0	23.20405987125311	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770738_1	SRR1770738_1.fastq	Conventional base calls	Sanger / Illumina 1.9	43708.0	0.0	151.0	53.0	11.798755376590098	151.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR1770738_2	SRR1770738_2.fastq	Conventional base calls	Sanger / Illumina 1.9	43708.0	0.0	151.0	55.0	21.39654067905189	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770742_1	SRR1770742_1.fastq	Conventional base calls	Sanger / Illumina 1.9	42191.0	0.0	151.0	53.0	11.163518285890357	151.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR1770742_2	SRR1770742_2.fastq	Conventional base calls	Sanger / Illumina 1.9	42191.0	0.0	151.0	54.0	23.002536085895095	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770743_1	SRR1770743_1.fastq	Conventional base calls	Sanger / Illumina 1.9	43213.0	0.0	151.0	53.0	10.705111887626408	151.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR1770743_2	SRR1770743_2.fastq	Conventional base calls	Sanger / Illumina 1.9	43213.0	0.0	151.0	55.0	22.356698215814685	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770744_1	SRR1770744_1.fastq	Conventional base calls	Sanger / Illumina 1.9	45861.0	0.0	151.0	53.0	11.824862083251563	151.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR1770744_2	SRR1770744_2.fastq	Conventional base calls	Sanger / Illumina 1.9	45861.0	0.0	151.0	53.0	21.752687468655285	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770746_1	SRR1770746_1.fastq	Conventional base calls	Sanger / Illumina 1.9	53175.0	0.0	151.0	53.0	12.208744710860367	151.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR1770746_2	SRR1770746_2.fastq	Conventional base calls	Sanger / Illumina 1.9	53175.0	0.0	151.0	53.0	23.048425011753643	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770752_1	SRR1770752_1.fastq	Conventional base calls	Sanger / Illumina 1.9	24704.0	0.0	151.0	55.0	12.281411917098445	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770752_2	SRR1770752_2.fastq	Conventional base calls	Sanger / Illumina 1.9	24704.0	0.0	151.0	56.0	24.400906735751295	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770753_1	SRR1770753_1.fastq	Conventional base calls	Sanger / Illumina 1.9	25899.0	0.0	151.0	53.0	11.22437159735897	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770753_2	SRR1770753_2.fastq	Conventional base calls	Sanger / Illumina 1.9	25899.0	0.0	151.0	54.0	19.81157573651492	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770756_1	SRR1770756_1.fastq	Conventional base calls	Sanger / Illumina 1.9	35712.0	0.0	151.0	53.0	10.903897849462366	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770756_2	SRR1770756_2.fastq	Conventional base calls	Sanger / Illumina 1.9	35712.0	0.0	151.0	54.0	21.561379928315414	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770758_1	SRR1770758_1.fastq	Conventional base calls	Sanger / Illumina 1.9	31866.0	0.0	151.0	55.0	11.931211950040796	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770758_2	SRR1770758_2.fastq	Conventional base calls	Sanger / Illumina 1.9	31866.0	0.0	151.0	55.0	23.727483838574027	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770760_1	SRR1770760_1.fastq	Conventional base calls	Sanger / Illumina 1.9	36459.0	0.0	151.0	54.0	10.952028305768122	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR1770760_2	SRR1770760_2.fastq	Conventional base calls	Sanger / Illumina 1.9	36459.0	0.0	151.0	55.0	20.883732411750184	151.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
