Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR1770737_1	87.77102010189171	53.0	151.0	30.0	50642.0
SRR1770737_2	76.79594012874689	54.0	151.0	40.0	50642.0
SRR1770738_1	88.2012446234099	53.0	151.0	30.0	43708.0
SRR1770738_2	78.6034593209481	55.0	151.0	40.0	43708.0
SRR1770742_1	88.83648171410964	53.0	151.0	30.0	42191.0
SRR1770742_2	76.99746391410491	54.0	151.0	40.0	42191.0
SRR1770743_1	89.2948881123736	53.0	151.0	30.0	43213.0
SRR1770743_2	77.64330178418531	55.0	151.0	40.0	43213.0
SRR1770744_1	88.17513791674844	53.0	151.0	30.0	45861.0
SRR1770744_2	78.24731253134472	53.0	151.0	40.0	45861.0
SRR1770746_1	87.79125528913963	53.0	151.0	30.0	53175.0
SRR1770746_2	76.95157498824636	53.0	151.0	40.0	53175.0
SRR1770752_1	87.71858808290156	55.0	151.0	40.0	24704.0
SRR1770752_2	75.59909326424871	56.0	151.0	40.0	24704.0
SRR1770753_1	88.77562840264103	53.0	151.0	40.0	25899.0
SRR1770753_2	80.18842426348508	54.0	151.0	40.0	25899.0
SRR1770756_1	89.09610215053763	53.0	151.0	40.0	35712.0
SRR1770756_2	78.43862007168458	54.0	151.0	40.0	35712.0
SRR1770758_1	88.06878804995921	55.0	151.0	40.0	31866.0
SRR1770758_2	76.27251616142597	55.0	151.0	40.0	31866.0
SRR1770760_1	89.04797169423188	54.0	151.0	40.0	36459.0
SRR1770760_2	79.11626758824981	55.0	151.0	40.0	36459.0
SRR1770762_1	89.00551562761157	54.0	151.0	40.0	29915.0
SRR1770762_2	78.7364198562594	55.0	151.0	40.0	29915.0
SRR1770766_1	89.55352931928942	53.0	151.0	40.0	25444.0
SRR1770766_2	80.13284074831002	55.0	151.0	40.0	25444.0
SRR1770768_1	88.96087290086096	53.0	151.0	40.0	35193.0
SRR1770768_2	78.53550421958911	55.0	151.0	40.0	35193.0
SRR1770770_1	89.52482064150821	53.0	151.0	40.0	31083.0
SRR1770770_2	79.0432068976611	55.0	151.0	40.0	31083.0
SRR1770773_1	89.89878610578701	54.0	151.0	40.0	29739.0
SRR1770773_2	79.92535054978312	56.0	151.0	40.0	29739.0
SRR1770775_1	90.1125810015827	53.0	151.0	40.0	33487.0
SRR1770775_2	79.86980022098128	55.0	151.0	40.0	33487.0
SRR1770778_1	90.29795875494555	54.0	151.0	40.0	28561.0
SRR1770778_2	80.77448268618045	55.0	151.0	40.0	28561.0
