id	name	group	type	country
SRR1770746	p1	frue_ch	Pasture	Switzerland
SRR1770744	p2	frue_ch	Pasture	Switzerland
SRR1770743	p3	frue_ch	Pasture	Switzerland
SRR1770742	p4	frue_ch	Pasture	Switzerland
SRR1770738	p5	frue_ch	Pasture	Switzerland
SRR1770737	p6	frue_ch	Pasture	Switzerland
SRR1770762	s1	mtca_au	Savanna	Australia
SRR1770760	s2	mtca_au	Savanna	Australia
SRR1770758	s3	mtca_au	Savanna	Australia
SRR1770756	s4	mtca_au	Savanna	Australia
SRR1770753	s5	mtca_au	Savanna	Australia
SRR1770752	s6	mtca_au	Savanna	Australia
SRR1770778	m1	ukul_za	Mesic_grassland	South_Africa
SRR1770775	m2	ukul_za	Mesic_grassland	South_Africa
SRR1770773	m3	ukul_za	Mesic_grassland	South_Africa
SRR1770770	m4	ukul_za	Mesic_grassland	South_Africa
SRR1770768	m5	ukul_za	Mesic_grassland	South_Africa
SRR1770766	m6	ukul_za	Mesic_grassland	South_Africa
