	pielou_evenness
SRR1770737	0.8807528756239948
SRR1770738	0.8591425555654881
SRR1770742	0.857300641123917
SRR1770743	0.8490997274392037
SRR1770744	0.8999171684745063
SRR1770746	0.8981421226720572
SRR1770752	0.9094309029019562
SRR1770753	0.8509245129876751
SRR1770756	0.864316707976631
SRR1770758	0.9162557869256693
SRR1770760	0.8980293628124073
SRR1770762	0.9096227199207239
SRR1770766	0.7604892263892189
SRR1770768	0.8047261416142036
SRR1770770	0.8122026684524792
SRR1770773	0.754455989960947
SRR1770775	0.7659719060830725
SRR1770778	0.8028560048362904
