	shannon_entropy
SRR1770737	8.49385407124835
SRR1770738	8.132270910902777
SRR1770742	7.985883691887501
SRR1770743	7.888152470835552
SRR1770744	8.748184056361191
SRR1770746	8.771731005106995
SRR1770752	8.066983796000393
SRR1770753	7.591813154333614
SRR1770756	7.995187476366239
SRR1770758	8.449332564498102
SRR1770760	8.403356464191143
SRR1770762	8.347989321999362
SRR1770766	6.448781532942056
SRR1770768	7.269431637596231
SRR1770770	7.2219304510561795
SRR1770773	6.409748714874849
SRR1770775	6.698297042889277
SRR1770778	6.939771846901975
